bitmap_index,sx,sy,sw,sh,ox,oy, notes
0,0,0,94,94,0,0, A
0,95,0,94,94,0,0, A press
0,191,0,60,60,1,0, B
0,251,0,60,60,1,0, B press
0,310,0,60,60,2,0, X
0,371,0,60,60,1,0, X press
0,1,93,60,60,1,1, Y
0,61,93,60,60,1,1, Y press
0,312,60,60,60,0,1, L
0,371,59,60,60,1,2, L press
0,191,60,60,60,1,1, R
0,252,60,60,60,1,1, R press
0,124,97,55,54,0,0, Pause button
0,188,122,70,29,-2,4, Hide 
0,259,122,87,30,-5,4, Show 
0,0,156,243,248,2,0, dpad
0,445,1,58,58,0,0, dpad tap cuphead
0,445,62,58,58,0,0, dpad tap mugman
0,445,125,58,58,0,0, dpad tap